Last Traded Time,Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
02:29 PM,VALLIBEL ONE PLC,VONE.N0000,58.6,1261,2153538,127590872.3,0.6,1.03
02:29 PM,AMBEON HOLDINGS PLC,GREG.N0000,25.6,393,1344879,33483299.2,2.5,10.82
02:29 PM,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,13.2,140,1248266,16501183.1,-0.2,-1.49
02:29 PM,BALANGODA PLANTATIONS PLC,BALA.N0000,15.8,90,150744,2382340.8,0.3,1.94
02:29 PM,COLOMBO LAND & DEVELOPMENT COMPANY PLC,CLND.N0000,29.1,29,59977,1746655.1,-1.2,-3.96
02:29 PM,LANKA MILK FOODS (CWE) PLC,LMF.N0000,172.25,211,99961,17188074.75,4.5,2.68
02:29 PM,ACCESS ENGINEERING PLC,AEL.N0000,23,264,855534,19686754.4,-0.1,-0.43
02:29 PM,HATTON NATIONAL BANK PLC,HNB.X0000,108.5,68,71826,7807263.5,-1.5,-1.36
02:29 PM,HNB ASSURANCE PLC,HASU.N0000,49.5,190,122559,6076251.9,-0.4,-0.8
02:29 PM,BROWN & COMPANY PLC,BRWN.N0000,186.5,428,405340,74972093.75,4.25,2.33
02:29 PM,LAUGFS GAS PLC,LGL.N0000,20.2,142,98062,1970181.7,-0.7,-3.35
02:29 PM,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,144.25,178,264096,38138118.75,0.75,0.52
02:29 PM,LANKA TILES PLC,TILE.N0000,55.6,301,772534,43062861.6,0.2,0.36
02:29 PM,MULTI FINANCE PLC,MFL.N0000,12.8,98,125503,1591084.7,0.7,5.79
02:29 PM,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,19.8,38,26560,526874.2,0,0
02:29 PM,R I L PROPERTY PLC,RIL.N0000,8.1,281,2133318,17357706,0.2,2.53
02:29 PM,TEEJAY LANKA PLC,TJL.N0000,43,350,942587,40790396.1,-0.5,-1.15
02:29 PM,CIC HOLDINGS PLC,CIC.X0000,44.3,141,501756,22194880.9,0.4,0.91
02:29 PM,CEYLON COLD STORES PLC,CCS.N0000,660,14,763,503508.5,-2,-0.3
02:29 PM,DFCC BANK PLC,DFCC.N0000,60.2,178,162329,9787872.4,-0.7,-1.15
02:29 PM,HEMAS HOLDINGS PLC,HHL.N0000,80.6,102,288006,23546899,-1.5,-1.83
02:29 PM,KOTAGALA PLANTATIONS PLC,KOTA.N0000,5.6,204,417406,2361326.3,0,0
02:29 PM,SEYLAN BANK PLC,SEYB.X0000,37.5,101,68254,2574066.3,-0.5,-1.32
02:29 PM,SOFTLOGIC HOLDINGS PLC,SHL.N0000,11,79,231968,2556776.2,-0.3,-2.65
02:29 PM,HARISCHANDRA MILLS PLC,HARI.N0000,4081.75,5,5,20650,0,0
02:29 PM,E B CREASY & COMPANY PLC,EBCR.N0000,25.5,71,32613,823386.7,0,0
02:29 PM,LANKA WALLTILES PLC,LWL.N0000,68.8,543,955383,65267795.9,1.7,2.53
02:29 PM,MELSTACORP PLC,MELS.N0000,52.4,483,1215710,63345603.7,0.9,1.75
02:29 PM,CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,111,325,412830,45793061.75,0.5,0.45
02:29 PM,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.5,80,962128,437633.6,0,0
02:29 PM,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,16,51,268115,4287492.6,0,0
02:29 PM,THE KINGSBURY PLC,SERV.N0000,8.1,43,150164,1225706.8,0.1,1.25
02:29 PM,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,30.8,105,74619,2302133.2,-0.7,-2.22
02:29 PM,VALLIBEL FINANCE PLC,VFIN.N0000,38.7,477,378674,14713013.4,-0.4,-1.02
02:29 PM,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,53,647,599930,29894756.9,10.6,25
02:29 PM,BAIRAHA FARMS PLC,BFL.N0000,162,132,93326,15296444.25,-1.75,-1.07
02:29 PM,SMB LEASING PLC,SEMB.N0000,0.5,104,13853043,7111914.3,0,0
02:29 PM,C. W. MACKIE PLC,CWM.N0000,70.7,82,152956,10814606.8,0,0
02:29 PM,HVA FOODS PLC,HVA.N0000,7,46,1341220,9399838.2,0.2,2.94
02:29 PM,SMB LEASING PLC,SEMB.X0000,0.2,228,135367052,27090243.5,0,0
02:29 PM,AMANA TAKAFUL PLC,ATL.N0000,8.8,6,1764,15523.2,-0.2,-2.22
02:29 PM,CARSON CUMBERBATCH PLC,CARS.N0000,299.75,18,8913,2672141.5,-0.25,-0.08
02:29 PM,UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,22.2,39,14080,311715.2,-1.3,-5.53
02:29 PM,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,72,47,26973,1936205.3,3.4,4.96
02:29 PM,HATTON NATIONAL BANK PLC,HNB.N0000,129.5,196,86209,11190641.25,-1.5,-1.15
02:29 PM,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,77.3,158,81715,6322950.5,-0.7,-0.9
02:29 PM,L B FINANCE PLC,LFIN.N0000,64.1,593,2175146,139520777.1,-1,-1.54
02:29 PM,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,1204.75,14,48,56710,0,0
11:00 AM,THE AUTODROME PLC,AUTO.N0000,82.6,1,10,805,0,0
11:00 AM,AMANA TAKAFUL LIFE PLC,ATLL.N0000,9.8,1,10,90,0,0
11:00 AM,ASIAN HOTELS & PROPERTIES PLC,AHPL.N0000,40,1,10,385,0,0
11:18 AM,GESTETNER OF CEYLON PLC,GEST.N0000,83.8,2,20,1716,0,0
11:21 AM,HUNTERS & COMPANY PLC,HUNT.N0000,813.75,1,1,763.25,0,0
11:22 AM,BIMPUTH FINANCE PLC,BLI.N0000,9.2,3,310,2848,0.3,3.37
11:36 AM,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,699.25,1,1,690,0,0
11:37 AM,ON ALLY HOLDINGS PLC,ONAL.N0000,33.7,1,10,334,0,0
11:49 AM,DOLPHIN HOTELS PLC,STAF.N0000,29,4,29,811.5,0,0
12:01 PM,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,84.5,8,510,43097,-1.7,-1.97
12:03 PM,INDO MALAY PLC,INDO.N0000,1123.2,3,3,3628.25,0,0
12:04 PM,GOOD HOPE PLC,GOOD.N0000,1005,4,7,7026,0,0
12:07 PM,SEYLAN DEVELOPMENTS PLC,CSD.N0000,15,38,42307,632891.8,0,0
12:13 PM,HORANA PLANTATIONS PLC,HOPL.N0000,21.6,3,282,6181.6,-0.8,-3.57
12:22 PM,UNION CHEMICALS LANKA PLC,UCAR.N0000,800,3,102,81571,1,0.13
12:28 PM,SINHAPUTHRA FINANCE PLC,SFL.N0000,8.7,11,19781,173234,0.2,2.35
12:51 PM,PROPERTY DEVELOPMENT PLC,PDL.N0000,125.5,2,3,377.5,0,0
12:52 PM,C T HOLDINGS PLC,CTHR.N0000,188,12,8718,1630215,5.75,3.16
12:58 PM,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,22.2,13,3840,85431,-0.4,-1.77
